NAME;ROLE;TEAM
Lautaro Martinez;A;Inter
Svilar;P;Roma
Maignan;P;Milan
Sommer;P;Inter
Di Gregorio;P;Juventus
Theo Hernandez;D;Milan
Dimarco;D;Inter
Bremer;D;Juventus
Buongiorno;D;Napoli
Bastoni;D;Inter
Pavard;D;Inter
Bellanova;D;Atalanta
Posch;D;Bologna
Barella;C;Inter
Calhanoglu;C;Inter
Koopmeiners;C;Juventus
Pulisic;C;Milan
Zaccagni;T;Lazio
De Ketelaere;T;Atalanta
Pellegrini;C;Roma
McTominay;C;Napoli
Vlahovic;A;Juventus
Osimhen;A;Napoli
Thuram;A;Inter
Lookman;A;Atalanta
Retegui;A;Atalanta
Dybala;T;Roma
Kvaratskhelia;A;Napoli
Gudmundsson;T;Fiorentina
